T(sec)	WE1 Volts(mV)	WE1 Idir(mA)	WE1 Idif (mA)	
13.7200	-1.379	-0.008522	
13.7400	-2.369	-0.008545	
13.7600	-3.355	-0.008562	
13.7800	-4.341	-0.008580	
13.8000	-5.331	-0.008600	
13.8200	-6.326	-0.008618	
13.8400	-7.316	-0.008641	
13.8600	-8.308	-0.008667	
13.8800	-9.299	-0.008693	
13.9000	-10.289	-0.008720	
13.9200	-11.281	-0.008746	
13.9400	-12.270	-0.008770	
13.9600	-13.260	-0.008794	
13.9800	-14.256	-0.008816	
14.0000	-15.247	-0.008836	
14.0200	-16.238	-0.008856	
14.0400	-17.231	-0.008878	
14.0600	-18.226	-0.008902	
14.0800	-19.225	-0.008932	
14.1000	-20.231	-0.008963	
14.1200	-21.231	-0.008991	
14.1400	-22.231	-0.009020	
14.1600	-23.237	-0.009046	
14.1800	-24.236	-0.009072	
14.2000	-25.235	-0.009095	
14.2200	-26.233	-0.009115	
14.2400	-27.229	-0.009137	
14.2600	-28.225	-0.009162	
14.2800	-29.226	-0.009188	
14.3000	-30.222	-0.009213	
14.3200	-31.223	-0.009243	
14.3400	-32.224	-0.009272	
14.3600	-33.223	-0.009298	
14.3800	-34.219	-0.009323	
14.4000	-35.220	-0.009344	
14.4200	-36.216	-0.009367	
14.4400	-37.214	-0.009388	
14.4600	-38.210	-0.009410	
14.4800	-39.206	-0.009433	
14.5000	-40.202	-0.009456	
14.5200	-41.197	-0.009481	
14.5400	-42.195	-0.009511	
14.5600	-43.197	-0.009540	
14.5800	-44.198	-0.009569	
14.6000	-45.197	-0.009592	
14.6200	-46.196	-0.009619	
14.6400	-47.193	-0.009641	
14.6600	-48.187	-0.009662	
14.6800	-49.186	-0.009685	
14.7000	-50.185	-0.009711	
14.7200	-51.183	-0.009739	
14.7400	-52.181	-0.009764	
14.7600	-53.177	-0.009792	
14.7800	-54.173	-0.009821	
14.8000	-55.164	-0.009847	
14.8200	-56.160	-0.009874	
14.8400	-57.157	-0.009899	
14.8600	-58.155	-0.009926	
14.8800	-59.152	-0.009949	
14.9000	-60.147	-0.009968	
14.9200	-61.142	-0.009992	
14.9400	-62.141	-0.010017	
14.9600	-63.142	-0.010042	
14.9800	-64.142	-0.010069	
15.0000	-65.143	-0.010100	
15.0200	-66.138	-0.010131	
15.0400	-67.133	-0.010156	
15.0600	-68.129	-0.010183	
15.0800	-69.128	-0.010205	
15.1000	-70.129	-0.010228	
15.1200	-71.132	-0.010253	
15.1400	-72.136	-0.010278	
15.1600	-73.135	-0.010302	
15.1800	-74.131	-0.010321	
15.2000	-75.131	-0.010348	
15.2200	-76.131	-0.010377	
15.2400	-77.130	-0.010407	
15.2600	-78.127	-0.010432	
15.2800	-79.120	-0.010459	
15.3000	-80.116	-0.010484	
15.3200	-81.106	-0.010506	
15.3400	-82.104	-0.010524	
15.3600	-83.103	-0.010549	
15.3800	-84.104	-0.010573	
15.4000	-85.101	-0.010601	
15.4200	-86.096	-0.010629	
15.4400	-87.092	-0.010658	
15.4600	-88.086	-0.010688	
15.4800	-89.084	-0.010716	
15.5000	-90.080	-0.010746	
15.5200	-91.073	-0.010771	
15.5400	-92.066	-0.010793	
15.5600	-93.060	-0.010813	
15.5800	-94.057	-0.010838	
15.6000	-95.055	-0.010862	
15.6200	-96.050	-0.010887	
15.6400	-97.052	-0.010912	
15.6600	-98.051	-0.010942	
15.6800	-99.048	-0.010969	
15.7000	-100.040	-0.010998	
15.7200	-101.037	-0.011023	
15.7400	-102.034	-0.011043	
15.7600	-103.024	-0.011062	
15.7800	-104.015	-0.011081	
15.8000	-105.006	-0.011102	
15.8200	-106.003	-0.011126	
15.8400	-106.999	-0.011151	
15.8600	-107.998	-0.011180	
15.8800	-109.001	-0.011208	
15.9000	-109.997	-0.011236	
15.9200	-110.992	-0.011262	
15.9400	-111.995	-0.011289	
15.9600	-112.996	-0.011314	
15.9800	-113.995	-0.011336	
16.0000	-114.996	-0.011360	
16.0200	-115.994	-0.011384	
16.0400	-116.994	-0.011409	
16.0600	-117.994	-0.011435	
16.0800	-119.000	-0.011466	
16.1000	-120.008	-0.011498	
16.1200	-121.014	-0.011528	
16.1400	-122.015	-0.011557	
16.1600	-123.018	-0.011587	
16.1800	-124.019	-0.011611	
16.2000	-125.016	-0.011636	
16.2200	-126.017	-0.011660	
16.2400	-127.020	-0.011688	
16.2600	-128.016	-0.011716	
16.2800	-129.009	-0.011744	
16.3000	-130.005	-0.011777	
16.3200	-131.000	-0.011806	
16.3400	-132.000	-0.011838	
